RegionName,1/31/2000,2/29/2000,3/31/2000,4/30/2000,5/31/2000,6/30/2000,7/31/2000,8/31/2000,9/30/2000,10/31/2000,11/30/2000,12/31/2000,1/31/2023,2/28/2023
Tulsa,"$75,173.10 ","$74,895.20 ","$75,050.84 ","$75,344.35 ","$75,939.06 ","$76,411.54 ","$76,766.41 ","$77,146.07 ","$77,512.19 ","$77,869.52 ","$78,220.80 ","$78,624.95 ","$181,426.94 ","$182,100.73 "
Broken Arrow,"$119,608.60 ","$119,273.43 ","$119,726.92 ","$120,396.37 ","$121,446.35 ","$122,121.99 ","$122,703.88 ","$123,242.53 ","$123,725.66 ","$124,102.33 ","$124,549.96 ","$125,059.80 ","$252,856.44 ","$253,154.90 "
Claremore,"$98,698.46 ","$98,857.94 ","$99,067.24 ","$99,449.33 ","$99,856.65 ","$100,320.34 ","$100,862.33 ","$101,345.51 ","$101,741.60 ","$102,031.56 ","$102,479.59 ","$102,986.74 ","$230,569.88 ","$231,057.35 "
Owasso,"$136,822.00 ","$136,548.01 ","$136,913.26 ","$137,566.30 ","$138,652.16 ","$139,449.46 ","$140,030.43 ","$140,410.21 ","$140,775.77 ","$141,122.60 ","$141,645.67 ","$142,229.65 ","$281,059.58 ","$280,985.00 "
Bartlesville,"$60,386.76 ","$60,445.58 ","$60,548.23 ","$60,782.94 ","$61,076.19 ","$61,356.45 ","$61,558.88 ","$61,750.92 ","$61,967.68 ","$62,189.98 ","$62,335.20 ","$62,535.51 ","$154,727.52 ","$155,654.02 "
Sand Springs,"$89,535.27 ","$89,161.49 ","$89,372.09 ","$89,696.92 ","$90,414.98 ","$90,895.06 ","$91,209.81 ","$91,403.30 ","$91,556.68 ","$91,759.52 ","$92,166.65 ","$92,705.62 ","$199,051.67 ","$199,828.87 "
Sapulpa,"$68,081.92 ","$68,123.87 ","$68,232.67 ","$68,435.66 ","$68,780.03 ","$69,168.21 ","$69,645.15 ","$70,097.48 ","$70,455.65 ","$70,742.95 ","$70,939.55 ","$71,225.40 ","$170,373.94 ","$170,931.87 "
Bixby,"$145,803.91 ","$145,174.92 ","$145,723.21 ","$146,371.50 ","$147,478.50 ","$147,983.49 ","$148,336.70 ","$148,827.44 ","$149,462.51 ","$150,126.23 ","$150,948.97 ","$151,595.92 ","$298,761.74 ","$299,166.91 "
Jenks,"$147,647.46 ","$147,177.19 ","$147,502.90 ","$148,048.06 ","$148,916.79 ","$149,460.85 ","$149,977.53 ","$150,818.92 ","$151,691.40 ","$152,363.70 ","$152,875.63 ","$153,436.83 ","$309,705.00 ","$309,829.84 "
Collinsville,"$112,978.22 ","$112,845.58 ","$113,219.60 ","$113,645.16 ","$114,520.17 ","$115,172.71 ","$115,838.94 ","$116,465.36 ","$117,301.67 ","$118,414.13 ","$119,371.26 ","$119,786.11 ","$248,232.59 ","$248,382.82 "
Okmulgee,"$29,201.39 ","$29,224.40 ","$29,197.11 ","$29,213.47 ","$29,228.26 ","$29,322.67 ","$29,441.86 ","$29,569.72 ","$29,680.79 ","$29,742.82 ","$29,890.99 ","$30,095.95 ","$84,705.27 ","$85,192.15 "
Coweta,"$111,962.65 ","$112,209.74 ","$112,313.38 ","$112,207.73 ","$111,841.38 ","$111,235.91 ","$110,873.56 ","$110,290.82 ","$109,853.19 ","$109,531.97 ","$109,672.63 ","$110,157.21 ","$225,391.40 ","$226,547.25 "
Skiatook,"$90,222.09 ","$90,362.09 ","$90,694.48 ","$91,340.83 ","$92,182.98 ","$92,865.49 ","$93,563.73 ","$94,327.62 ","$95,198.33 ","$95,897.48 ","$96,408.39 ","$96,706.55 ","$227,468.47 ","$227,958.74 "
Glenpool,"$93,261.51 ","$92,725.66 ","$93,010.12 ","$93,353.23 ","$94,129.65 ","$94,342.54 ","$94,385.81 ","$94,416.93 ","$94,630.10 ","$94,839.62 ","$94,995.60 ","$95,160.06 ","$205,841.11 ","$206,680.31 "
Wagoner,"$75,049.77 ","$75,121.34 ","$75,140.09 ","$75,069.56 ","$74,973.00 ","$74,856.33 ","$74,880.92 ","$74,927.36 ","$74,984.82 ","$75,189.01 ","$75,370.67 ","$75,455.33 ","$139,273.04 ","$140,175.84 "
Henryetta,"$28,231.67 ","$28,241.16 ","$28,309.96 ","$28,425.55 ","$28,499.61 ","$28,553.31 ","$28,628.00 ","$28,761.40 ","$28,860.62 ","$28,934.50 ","$29,043.48 ","$29,198.35 ","$86,657.23 ","$87,169.30 "
Inola,"$86,914.22 ","$86,850.85 ","$86,964.96 ","$87,174.61 ","$87,538.81 ","$87,979.66 ","$88,444.17 ","$88,796.84 ","$89,219.32 ","$89,516.88 ","$90,037.03 ","$90,418.19 ","$238,172.40 ","$239,074.43 "
Pawhuska,"$25,272.98 ","$25,252.16 ","$25,380.17 ","$25,556.39 ","$25,708.02 ","$25,826.94 ","$25,936.38 ","$26,107.86 ","$26,344.72 ","$26,532.74 ","$26,752.06 ","$26,922.38 ","$84,682.63 ","$84,565.51 "
Hominy,"$21,815.99 ","$21,894.97 ","$21,982.46 ","$22,213.07 ","$22,489.13 ","$22,745.35 ","$22,887.02 ","$22,811.33 ","$22,818.72 ","$22,889.46 ","$23,129.89 ","$23,303.21 ","$78,479.14 ","$78,219.30 "
Drumright,"$20,724.94 ","$20,937.68 ","$20,966.08 ","$21,137.67 ","$21,188.71 ","$21,321.00 ","$21,438.02 ","$21,593.00 ","$21,685.96 ","$21,741.51 ","$21,756.27 ","$21,803.36 ","$78,734.32 ","$80,700.37 "
